        handle  rating
0          xx2    2.14
1        woofy    2.02
2         guss    1.98
3         neil    1.94
4           zz    1.57
5         esta    1.24
6        jikox    1.13
7       patron    1.08
8         jaxx    1.01
9         bran    0.84
10     buffalo    0.79
11       goose    0.68
12      apathy    0.66
13        tina    0.65
14      mathew    0.59
15       lemyn    0.53
16       payne    0.53
17         ken    0.39
18     magduck    0.37
19       blarg    0.35
20      slight    0.31
21        twig    0.31
22         van    0.30
23      unomas    0.24
24        york    0.20
25   pacattack    0.20
26     decline    0.09
27    vesuvius    0.06
28     yojimbo    0.06
29       rusty    0.04
30     shirley    0.03
31     two_bad    0.01
32       biell   -0.02
33        vipr   -0.02
34    kneegrow   -0.04
35        jose   -0.10
36   kate_wolf   -0.13
37         bob   -0.14
38        pepe   -0.18
39       gauze   -0.18
40     molotov   -0.21
41        onum   -0.28
42        infi   -0.31
43     measure   -0.34
44      xochis   -0.35
45       alien   -0.50
46   demoledor   -0.54
47        evel   -0.59
48      falcon   -0.61
49     aer0gen   -0.74
50     albator   -0.74
51       crazy   -0.79
52    guardian   -0.83
53    han_yolo   -0.91
54        johs   -0.93
55       waver   -0.97
56      badger   -0.98
57     phlexxo   -0.98
58  underscore   -1.09
59    meridian   -1.11
60    maverick   -1.14
61        falc   -1.19
62       oldie   -1.20
63    nosneros   -1.36
64        jeff   -1.43
65       derek   -1.43
